from,p_from,to,p_to,expected,obs,o_minus_e,perm_lo,perm_hi,outside_null
Western Asia,0.007932208636433988,Northern Africa,0.0021668472372697724,0.4442036836403033,3,2.5557963163596966,-0.4442036836403033,1.5557963163596966,TRUE
South America,0.013658876334932672,Eastern Asia,0.010021668472372697,3.5376489707475622,1,-2.5376489707475622,-2.5376489707475622,3.4623510292524378,FALSE
Eastern Asia,0.013465407831605014,Northern America,0.2571970283237889,89.50456585667852,87,-2.504565856678525,12.470434143321476,43.495434143321475,TRUE
South America,0.013658876334932672,Caribbean,0.002437703141928494,0.8605092091007583,3,2.1394907908992415,-0.8605092091007583,4.1394907908992415,FALSE
Southern Europe,0.06546974152607955,South-Eastern Asia,0.001238198421297013,2.0950317288345457,0,-2.0950317288345457,-2.0950317288345457,1.9049682711654543,FALSE
Western Asia,0.007932208636433988,South America,0.01984986844141774,4.069223030490637,2,-2.0692230304906367,-2.0692230304906367,6.930776969509363,FALSE
Western Asia,0.007932208636433988,Eastern Asia,0.010021668472372697,2.054442036836403,0,-2.054442036836403,-2.054442036836403,2.945557963163597,FALSE
South-Eastern Asia,0.001315585822628076,Sub-Saharan Africa,0.002321622039931899,0.07893514935768457,2,1.9210648506423154,-0.07893514935768457,2.9210648506423156,FALSE
Northern America,0.17563070732084818,Central America,0.001779910230614456,8.079012536759015,10,1.9209874632409853,-4.079012536759015,5.920987463240985,FALSE
South-Eastern Asia,0.001315585822628076,Eastern Europe,0.05540937935304133,1.8839188980034052,0,-1.8839188980034052,-1.8839188980034052,3.1160811019965946,FALSE
Central America,0.002012072434607646,Eastern Europe,0.05540937935304133,2.8812877263581496,1,-1.8812877263581496,-2.8812877263581496,4.118712273641851,FALSE
Australia and New Zealand,0.006461848011143786,South-Eastern Asia,0.001238198421297013,0.20677913635660117,2,1.7932208636433988,-0.20677913635660117,1.7932208636433988,FALSE
Australia and New Zealand,0.006461848011143786,Eastern Asia,0.010021668472372697,1.6736186348862405,0,-1.6736186348862405,-1.6736186348862405,4.326381365113759,FALSE
Eastern Europe,0.06059433524222257,Northern Africa,0.0021668472372697724,3.3932827735644637,5,1.6067172264355363,-2.3932827735644637,4.606717226435537,FALSE
Southern Europe,0.06546974152607955,Western Asia,0.0038306763658876334,6.481504411081875,5,-1.4815044110818754,-4.481504411081875,3.5184955889181246,FALSE
Sub-Saharan Africa,0.002553784243925089,Northern Europe,0.18851570964247022,12.442036836403034,11,-1.4420368364030338,-7.442036836403034,2.557963163596966,FALSE
South America,0.013658876334932672,Australia and New Zealand,0.00398545116854976,1.4068642624980654,0,-1.4068642624980654,-1.4068642624980654,3.5931357375019344,FALSE
Northern Europe,0.24651756694010216,Australia and New Zealand,0.00398545116854976,25.39130939483052,24,-1.3913093948305217,-5.391309394830522,10.608690605169478,FALSE
Eastern Asia,0.013465407831605014,Australia and New Zealand,0.00398545116854976,1.3869370066553166,0,-1.3869370066553166,-1.3869370066553166,3.613062993344683,FALSE
