person_id,name,gender,birth_year,death_year,qid,match_method,multi_match_count
10218,Edgar Bright Wilson Jr.,M,1908,1992,Q511581,wikidata_name_birthyear,1
13066,Stanley Bruckenstein,M,1927,NA,Q118591924,wikidata_name_birthyear,1
1994,Charles Alfred Coulson,M,1910,1974,Q900605,wikidata_name_birthyear,1
4213,Edmund Hirst,M,NA,NA,NA,no_data,0
13348,Ephraim Katchalski,M,1916,2009,Q110330,wikidata_name_birthyear,1
10819,Alexander Ivanovich Oparin,M,1894,1980,Q44483,wikidata_name_birthyear,1
10948,Gopalasamudram Narayanan Ramachandran,M,1922,2001,Q910690,wikidata_name_birthyear,1
14769,František Šorm,M,1913,1980,Q3656091,wikidata_name_birthyear,1
13367,E Terroine,M,NA,NA,NA,no_data,0
13374,K Yamafuji,M,NA,NA,NA,no_data,0
13377,P Zamecnik,M,1912,2009,NA,unmatched,0
10502,Georg-Maria Schwab,NA,1899,1984,Q1503418,wikidata_name_birthyear,1
13383,H Claassen,M,NA,NA,NA,no_data,0
13384,J Malm,M,NA,NA,NA,no_data,0
13385,H Selig,M,NA,NA,NA,no_data,0
13388,Arthur Holmes,M,NA,NA,NA,no_data,0
13892,Paul Doughty Bartlett,M,1907,1997,Q1722334,wikidata_name_birthyear,1
10728,Erwin Chargaff,M,1905,2002,Q455944,wikidata_name_birthyear,1
1869,Salomon Cohen,M,NA,NA,NA,no_data,0
13896,John Warcup Cornforth Jr,M,1917,2013,NA,unmatched,0
13897,O Davtjan,NA,NA,NA,NA,no_data,0
13900,Ulick Richardson Evans,M,1889,1980,Q21166468,wikidata_name_birthyear,1
13930,S Mason,NA,NA,NA,NA,no_data,0
13934,Marshall Warren Nirenberg,M,1927,2010,Q110060,wikidata_name_birthyear,1
10592,Charles Prévost,M,1899,1983,Q2960053,wikidata_name_birthyear,1
7790,Jean Roche,M,1901,1992,Q6075375,wikidata_name_birthyear,1
10737,Iwan Nikolov Stranski,M,1897,1979,Q327794,wikidata_name_birthyear,1
13988,George Joseph Popják,M,1914,1998,Q1507678,wikidata_name_birthyear,1
10593,Henrik Gunnar Lundegårdh,M,1888,1969,Q5966313,wikidata_name_birthyear,1
13090,Jacques Monod,M,1910,1976,Q231402,wikidata_name_birthyear,1
13990,J Jacob,NA,NA,NA,NA,no_data,0
13997,Rudolf Hoppe,M,1922,2014,Q96851,wikidata_name_birthyear,1
13999,L Mortenson,NA,NA,NA,NA,no_data,0
14000,R Valentine,NA,NA,NA,NA,no_data,0
14001,J Carnahan,NA,NA,NA,NA,no_data,0
14002,Albert Jakob Eschenmoser,M,1925,2023,Q116960,wikidata_name_birthyear,1
14005,Alfred Rieche,M,1902,2001,Q110834,wikidata_name_birthyear,1
13371,Rudolf Criegee,M,1902,1975,Q90694,wikidata_name_birthyear,1
10822,Richard Maling Barrer,M,1910,1996,Q2149015,wikidata_name_birthyear,1
3822,Bernard Halpern,M,1904,1978,Q822456,wikidata_name_birthyear,1
14276,K Hannig,NA,NA,NA,NA,no_data,0
14176,Robert William Holley,M,1922,1993,Q108891,wikidata_name_birthyear,1
14277,J Hyde,NA,NA,NA,NA,no_data,0
10836,A Lüttringhaus,NA,NA,NA,NA,no_data,0
14278,Edwin Theodore Mertz,M,1909,1999,Q5346860,wikidata_name_birthyear,1
14289,Robert Schwyzer,M,1928,2015,NA,unmatched,0
10988,T Seshadri,NA,NA,NA,NA,no_data,0
14294,K Pitzer,NA,NA,NA,NA,no_data,0
14296,Sol Spiegelmann,M,1914,1983,NA,unmatched,0
6393,Stanford Moore,M,1913,1982,Q110952,wikidata_name_birthyear,1
8764,William Howard Stein,M,1911,1980,Q156492,wikidata_name_birthyear,1
14307,H Classen,NA,NA,NA,NA,no_data,0
14310,C Vernet,NA,NA,NA,NA,no_data,0
14311,B Lainé,NA,NA,NA,NA,no_data,0
14312,J Filosa,NA,NA,NA,NA,no_data,0
14585,M Ballester,M,NA,NA,NA,no_data,0
14596,Frank Albert Cotton,M,1930,2007,Q425980,wikidata_name_birthyear,1
14284,Jean Lecomte,M,1898,1979,Q45717769,wikidata_name_birthyear,1
14613,Max Rudolf Lemberg,M,1896,1975,Q7376946,wikidata_name_birthyear,1
14615,J Lingane,M,NA,NA,NA,no_data,0
14617,Robert Bruce Merrifield,M,1921,2006,Q224153,wikidata_name_birthyear,1
14619,Richard Alan Morton,M,1899,1977,Q18917170,wikidata_name_birthyear,1
14626,Giorgio Piccardi,M,1895,1972,Q1525531,wikidata_name_birthyear,1
14768,H Schmid,NA,NA,NA,NA,no_data,0
